Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,0.367,0.36,33.20%,"83,262,122","81,687,059",227157964,245712915,8.40%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814"
2014,41,1,Alabama,0.332,0.329,31.50%,"1,191,274","1,180,413",3588783,3751844,2.50%,"31,691","53,640","8,097","69,826",
2014,81,2,Alaska,0.548,0.542,51.00%,"285,431","282,382",520562,553473,3.90%,"5,216","7,077","2,210","11,389",
2014,61,3,Arizona,0.341,0.334,29.50%,"1,537,671","1,506,416",4510186,5110890,10.10%,"37,516","73,232","7,502","86,028",
2014,42,4,Arkansas,0.403,0.401,37.50%,"852,642","848,592",2117881,2263040,4.00%,"17,756","28,192","21,743","55,287",
2014,71,5,California,0.307,0.299,24.70%,"7,513,972","7,317,581",24440416,29646675,16.80%,"136,088",0,"87,104","223,192",
2014,62,6,Colorado,0.547,0.537,49.40%,"2,080,071","2,041,020",3800664,4128890,7.20%,"19,121",0,"10,067","29,188",
2014,1,7,Connecticut,0.425,0.423,38.50%,"1,096,556","1,089,880",2577311,2828791,8.20%,"16,113",0,"2,564","18,677",
2014,11,8,Delaware,0.349,0.343,31.80%,"238,110","234,038",681526,735156,5.10%,"6,625","15,665",676,"16,073",
2014,55,9,District of Columbia,0.357,0.353,32.00%,"177,176","175,071",495899,547228,9.40%,0,0,0,0,
2014,43,10,Florida,0.433,0.428,37.60%,"6,026,802","5,951,561",13914216,15816663,10.60%,"95,671","227,087","4,519","227,359",
2014,44,11,Georgia,0.386,0.382,33.80%,"2,596,947","2,567,761",6725041,7601982,7.10%,"50,499","471,067","25,547","339,844",
2014,82,12,Hawaii,0.365,0.362,32.90%,"369,554","366,125",1012123,1113693,8.60%,"5,721",0,0,"5,721",
